Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue Capacity,Tour_ID
2015-05-05,Tokyo,Japan,Tokyo Dome,—,100320.0,"$10,586,828",100320.0,4
2015-05-06,Tokyo,Japan,Tokyo Dome,—,100320.0,"$10,586,828",100320.0,4
2015-05-15,Winchester,United States,City of Rock,—,,—,,4
2015-05-20,Bossier City,United States,CenturyLink Center,Vance Joy,12459.0,"$1,458,197",12459.0,4
2015-05-22,Baton Rouge,United States,LSU Tiger Stadium,"Vance Joy
Shawn Mendes",50227.0,"$4,119,670",50227.0,4
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,"$5,999,690",50703.0,4
2015-06-02,Louisville,United States,KFC Yum! Center,Vance Joy,16242.0,"$1,863,281",16242.0,4
2015-06-03,Cleveland,United States,Quicken Loans Arena,Vance Joy,15503.0,"$1,732,041",15503.0,4
2015-06-06,Pittsburgh,United States,Heinz Field,"Vance Joy
Shawn Mendes",54801.0,"$5,836,926",54801.0,4
2015-06-08,Charlotte,United States,Time Warner Cable Arena,Vance Joy,15024.0,"$1,627,798",15024.0,4
2015-06-09,Raleigh,United States,PNC Arena,Vance Joy,13886.0,"$1,653,762",13886.0,4
2015-06-12,Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes",101052.0,"$11,987,816",101052.0,4
2015-06-13,Philadelphia,United States,Lincoln Financial Field,"Vance Joy
Shawn Mendes",101052.0,"$11,987,816",101052.0,4
2015-06-19,Cologne,Germany,Lanxess Arena,James Bay,29020.0,"$2,054,690",29020.0,4
2015-06-20,Cologne,Germany,Lanxess Arena,James Bay,29020.0,"$2,054,690",29020.0,4
2015-06-21,Amsterdam,Netherlands,Ziggo Dome,James Bay,11166.0,"$800,829",11166.0,4
2015-06-23,Glasgow,Scotland,SSE Hydro,Vance Joy,11021.0,"$1,119,300",11021.0,4
2015-06-24,Manchester,England,Manchester Arena,Vance Joy,14773.0,"$1,478,760",14773.0,4
