Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,67
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,68
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,69
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,70
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,458
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,459
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,594
2015-05-05,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,595
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,67
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,68
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,69
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,70
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,458
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,459
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,594
2015-05-06,Tokyo,Japan,Tokyo Dome,—,50160.0,5293414.0,50160.0,4,595
2015-05-15,Winchester,United States,City of Rock,—,,,,4,460
2015-05-20,Bossier City,United States,CenturyLink Center,Vance Joy,12459.0,1458197.0,12459.0,4,331
2015-05-20,Bossier City,United States,CenturyLink Center,Vance Joy,12459.0,1458197.0,12459.0,4,461
2015-05-22,Baton Rouge,United States,LSU Tiger Stadium,"Vance Joy
Shawn Mendes",50227.0,4119670.0,50227.0,4,256
2015-05-22,Baton Rouge,United States,LSU Tiger Stadium,"Vance Joy
Shawn Mendes",50227.0,4119670.0,50227.0,4,462
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,5999690.0,50703.0,4,32
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,5999690.0,50703.0,4,33
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,5999690.0,50703.0,4,289
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,5999690.0,50703.0,4,390
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,5999690.0,50703.0,4,463
2015-05-30,Detroit,United States,Ford Field,"Vance Joy
Shawn Mendes",50703.0,5999690.0,50703.0,4,579
