Date,City,Country,Venue,Opening acts,Attendance,Venue_Capacity,Tour_ID,Latitude,Longitude,Venue_ID
2023-03-17,glendale,united states,state farm stadium,Paramore Gayle,70000.0,70000.0,6,33.527283,-112.263275,201.0
2023-03-18,glendale,united states,state farm stadium,Paramore Gayle,70000.0,70000.0,6,33.527283,-112.263275,201.0
2023-03-24,paradise,united states,allegiant stadium,Beabadoobee Gayle,,,6,36.090794,-115.183952,8.0
2023-03-25,paradise,united states,allegiant stadium,Beabadoobee Gayle,,,6,36.090794,-115.183952,8.0
2023-03-31,arlington,united states,at&t stadium,Muna Gayle,70203.0,70203.0,6,32.747841,-97.093628,25.0
2023-04-01,arlington,united states,at&t stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,32.747841,-97.093628,25.0
2023-04-02,arlington,united states,at&t stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,32.747841,-97.093628,25.0
2023-04-13,tampa,united states,raymond james stadium,Beabadoobee Gayle,68820.0,68820.0,6,27.975958,-82.503693,171.0
2023-04-14,tampa,united states,raymond james stadium,Beabadoobee Gracie Abrams,68820.0,68820.0,6,27.975958,-82.503693,171.0
2023-04-15,tampa,united states,raymond james stadium,Beabadoobee Gracie Abrams,68819.0,68819.0,6,27.975958,-82.503693,171.0
2023-04-21,houston,united states,nrg stadium,Beabadoobee Gracie Abrams,72220.0,72220.0,6,29.68486,-95.411667,147.0
2023-04-22,houston,united states,nrg stadium,Beabadoobee Gracie Abrams,72220.0,72220.0,6,29.68486,-95.411667,147.0
2023-04-23,houston,united states,nrg stadium,Beabadoobee Gracie Abrams,72220.0,72220.0,6,29.68486,-95.411667,147.0
2023-04-28,atlanta,united states,mercedes-benz stadium,Beabadoobee Gracie Abrams,70000.0,70000.0,6,33.755489,-84.401993,126.0
2023-04-29,atlanta,united states,mercedes-benz stadium,Beabadoobee Gracie Abrams,70000.0,70000.0,6,33.755489,-84.401993,126.0
2023-04-30,atlanta,united states,mercedes-benz stadium,Muna Gayle,70000.0,70000.0,6,33.755489,-84.401993,126.0
2023-05-05,nashville,united states,nissan stadium,Phoebe Bridgers Gracie Abrams,71000.0,71000.0,6,36.166479,-86.7712898,144.0
2023-05-06,nashville,united states,nissan stadium,Phoebe Bridgers Gayle,71000.0,71000.0,6,36.166479,-86.7712898,144.0
2023-05-07,nashville,united states,nissan stadium,—,71000.0,71000.0,6,36.166479,-86.7712898,144.0
2023-05-12,philadelphia,united states,lincoln financial field,Phoebe Bridgers Gayle,67567.0,67567.0,6,39.900898,-75.168098,111.0
2023-05-13,philadelphia,united states,lincoln financial field,Phoebe Bridgers Gayle,67567.0,67567.0,6,39.900898,-75.168098,111.0
2023-05-14,philadelphia,united states,lincoln financial field,Phoebe Bridgers Gracie Abrams,67566.0,67566.0,6,39.900898,-75.168098,111.0
2023-05-19,foxborough,united states,gillette stadium,Phoebe Bridgers Gayle,66667.0,66667.0,6,42.0878,-71.2587,88.0
2023-05-20,foxborough,united states,gillette stadium,Phoebe Bridgers Gayle,66667.0,66667.0,6,42.0878,-71.2587,88.0
2023-05-21,foxborough,united states,gillette stadium,Phoebe Bridgers Gracie Abrams,66666.0,66666.0,6,42.0878,-71.2587,88.0
2023-05-26,east rutherford,united states,metlife stadium,Phoebe Bridgers Gayle,72545.0,72545.0,6,40.813778,-74.07431,129.0
2023-05-27,east rutherford,united states,metlife stadium,Phoebe Bridgers Gracie Abrams,72545.0,72545.0,6,40.813778,-74.07431,129.0
2023-05-28,east rutherford,united states,metlife stadium,Phoebe Bridgers Owenn,72545.0,72545.0,6,40.813778,-74.07431,129.0
2023-06-02,chicago,united states,soldier field,Girl in Red Owenn,50000.0,50000.0,6,41.862366,-87.617256,192.0
2023-06-03,chicago,united states,soldier field,Girl in Red Owenn,50000.0,50000.0,6,41.862366,-87.617256,192.0
2023-06-04,chicago,united states,soldier field,Muna Gracie Abrams,50000.0,50000.0,6,41.862366,-87.617256,192.0
2023-06-09,detroit,united states,ford field,Girl in Red Gracie Abrams,59331.0,59331.0,6,42.340115,-83.046341,79.0
2023-06-10,detroit,united states,ford field,Girl in Red Owenn,59330.0,59330.0,6,42.340115,-83.046341,79.0
2023-06-16,pittsburgh,united states,acrisure stadium,Girl in Red Gracie Abrams,73117.0,73117.0,6,40.4469,-80.0158,5.0
2023-06-17,pittsburgh,united states,acrisure stadium,Girl in Red Owenn,73117.0,73117.0,6,40.4469,-80.0158,5.0
2023-06-23,minneapolis,united states,u.s. bank stadium,Girl in Red Gracie Abrams,64453.0,64453.0,6,44.9737,-93.257,217.0
2023-06-24,minneapolis,united states,u.s. bank stadium,Girl in Red Owenn,64453.0,64453.0,6,44.9737,-93.257,217.0
2023-06-30,cincinnati,united states,paycor stadium,Muna Gracie Abrams,65000.0,65000.0,6,39.0955,-84.5161,158.0
2023-07-01,cincinnati,united states,paycor stadium,Muna,65000.0,65000.0,6,39.0955,-84.5161,158.0
2023-07-07,kansas city,united states,geha field at arrowhead stadium,Muna Gracie Abrams,55000.0,55000.0,6,39.049,-94.4839,85.0
2023-07-08,kansas city,united states,geha field at arrowhead stadium,Muna Gracie Abrams,55000.0,55000.0,6,39.049,-94.4839,85.0
2023-07-14,denver,united states,empower field at mile high,Muna Gracie Abrams,75000.0,75000.0,6,39.7439,-105.0201,63.0
2023-07-15,denver,united states,empower field at mile high,Muna Gracie Abrams,75000.0,75000.0,6,39.7439,-105.0201,63.0
2023-07-22,seattle,united states,lumen field,Haim Gracie Abrams,72171.0,72171.0,6,47.5952,-122.3316,114.0
2023-07-23,seattle,united states,lumen field,Haim Gracie Abrams,72171.0,72171.0,6,47.5952,-122.3316,114.0
2023-07-28,santa clara,united states,levi's stadium,Haim Gracie Abrams,70000.0,70000.0,6,37.403,-121.97,109.0
2023-07-29,santa clara,united states,levi's stadium,Haim Gracie Abrams,70000.0,70000.0,6,37.403,-121.97,109.0
2023-08-03,inglewood,united states,sofi stadium,Haim Gracie Abrams,70000.0,70000.0,6,33.9535,-118.3392,191.0
2023-08-04,inglewood,united states,sofi stadium,Haim Owenn,70000.0,70000.0,6,33.9535,-118.3392,191.0
2023-08-05,inglewood,united states,sofi stadium,Haim Gayle,70000.0,70000.0,6,33.9535,-118.3392,191.0
2023-08-07,inglewood,united states,sofi stadium,Haim Gracie Abrams,70000.0,70000.0,6,33.9535,-118.3392,191.0
2023-08-08,inglewood,united states,sofi stadium,Haim Gracie Abrams,70000.0,70000.0,6,33.9535,-118.3392,191.0
2023-08-09,inglewood,united states,sofi stadium,Haim Gayle,70000.0,70000.0,6,33.9535,-118.3392,191.0
2023-08-24,mexico city,mexico,foro sol,Sabrina Carpenter,45000.0,45000.0,6,19.4042,-99.0907,81.0
2023-08-25,mexico city,mexico,foro sol,Sabrina Carpenter,45000.0,45000.0,6,19.4042,-99.0907,81.0
2023-08-26,mexico city,mexico,foro sol,Sabrina Carpenter,45000.0,45000.0,6,19.4042,-99.0907,81.0
2023-08-27,mexico city,mexico,foro sol,Sabrina Carpenter,45000.0,45000.0,6,19.4042,-99.0907,81.0
2023-11-09,buenos aires,argentina,estadio river plate,Sabrina Carpenter Louta,73334.0,73334.0,6,-34.5455,-58.4494,65.0
2023-11-11,buenos aires,argentina,estadio river plate,Sabrina Carpenter Louta,73333.0,73333.0,6,-34.5455,-58.4494,65.0
2023-11-12,buenos aires,argentina,estadio river plate,Sabrina Carpenter Louta,73333.0,73333.0,6,-34.5455,-58.4494,65.0
2023-11-17,rio de janeiro,brazil,estádio olímpico nilton santos,Sabrina Carpenter,60000.0,60000.0,6,,,68.0
2023-11-19,rio de janeiro,brazil,estádio olímpico nilton santos,Sabrina Carpenter,60000.0,60000.0,6,,,68.0
2023-11-20,rio de janeiro,brazil,estádio olímpico nilton santos,Sabrina Carpenter,60000.0,60000.0,6,,,68.0
2023-11-24,são paulo,brazil,allianz parque,Sabrina Carpenter,50000.0,50000.0,6,-23.5273,-46.678,9.0
2023-11-25,são paulo,brazil,allianz parque,Sabrina Carpenter,50000.0,50000.0,6,-23.5273,-46.678,9.0
2023-11-26,são paulo,brazil,allianz parque,Sabrina Carpenter,50000.0,50000.0,6,-23.5273,-46.678,9.0
