Date,City,Country,Venue,Opening act(s),Attendance,Venue_Capacity,Tour_ID,Venue_ID
2023-03-17,Glendale,United States,State Farm Stadium,Paramore Gayle,70000.0,70000.0,6,1
2023-03-17,Glendale,United States,State Farm Stadium,Paramore Gayle,70000.0,70000.0,6,2
2023-03-18,Glendale,United States,State Farm Stadium,Paramore Gayle,70000.0,70000.0,6,1
2023-03-18,Glendale,United States,State Farm Stadium,Paramore Gayle,70000.0,70000.0,6,2
2023-03-24,Paradise,United States,Allegiant Stadium,Beabadoobee Gayle,,,6,3
2023-03-24,Paradise,United States,Allegiant Stadium,Beabadoobee Gayle,,,6,4
2023-03-25,Paradise,United States,Allegiant Stadium,Beabadoobee Gayle,,,6,3
2023-03-25,Paradise,United States,Allegiant Stadium,Beabadoobee Gayle,,,6,4
2023-03-31,Arlington,United States,AT&T Stadium,Muna Gayle,70203.0,70203.0,6,5
2023-03-31,Arlington,United States,AT&T Stadium,Muna Gayle,70203.0,70203.0,6,6
2023-03-31,Arlington,United States,AT&T Stadium,Muna Gayle,70203.0,70203.0,6,7
2023-03-31,Arlington,United States,AT&T Stadium,Muna Gayle,70203.0,70203.0,6,525
2023-03-31,Arlington,United States,AT&T Stadium,Muna Gayle,70203.0,70203.0,6,587
2023-03-31,Arlington,United States,AT&T Stadium,Muna Gayle,70203.0,70203.0,6,588
2023-04-01,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,5
2023-04-01,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,6
2023-04-01,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,7
2023-04-01,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,525
2023-04-01,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,587
2023-04-01,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,588
2023-04-02,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,5
2023-04-02,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,6
2023-04-02,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,7
2023-04-02,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,525
2023-04-02,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,587
2023-04-02,Arlington,United States,AT&T Stadium,Beabadoobee Gracie Abrams,70202.0,70202.0,6,588
2023-04-13,Tampa,United States,Raymond James Stadium,Beabadoobee Gayle,68820.0,68820.0,6,8
2023-04-13,Tampa,United States,Raymond James Stadium,Beabadoobee Gayle,68820.0,68820.0,6,9
2023-04-13,Tampa,United States,Raymond James Stadium,Beabadoobee Gayle,68820.0,68820.0,6,10
2023-04-13,Tampa,United States,Raymond James Stadium,Beabadoobee Gayle,68820.0,68820.0,6,530
2023-04-13,Tampa,United States,Raymond James Stadium,Beabadoobee Gayle,68820.0,68820.0,6,576
2023-04-14,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68820.0,68820.0,6,8
2023-04-14,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68820.0,68820.0,6,9
2023-04-14,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68820.0,68820.0,6,10
2023-04-14,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68820.0,68820.0,6,530
2023-04-14,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68820.0,68820.0,6,576
2023-04-15,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68819.0,68819.0,6,8
2023-04-15,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68819.0,68819.0,6,9
2023-04-15,Tampa,United States,Raymond James Stadium,Beabadoobee Gracie Abrams,68819.0,68819.0,6,10
