Date,City,Country,Venue,Opening act,Attendance,Revenue,Opening acts,Venue_Capacity,Tour_ID,Venue_ID
2013-03-13,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13939.0,1121582.0,,13939.0,3,372
2013-03-13,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13939.0,1121582.0,,13939.0,3,373
2013-03-13,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13939.0,1121582.0,,13939.0,3,522
2013-03-13,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13939.0,1121582.0,,13939.0,3,523
2013-03-14,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13938.0,1121582.0,,13938.0,3,372
2013-03-14,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13938.0,1121582.0,,13938.0,3,373
2013-03-14,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13938.0,1121582.0,,13938.0,3,522
2013-03-14,Omaha,United States,CenturyLink Center Omaha,"Ed Sheeran
Brett Eldredge",13938.0,1121582.0,,13938.0,3,523
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,,14291.0,3,153
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,,14291.0,3,314
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,,14291.0,3,315
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,,14291.0,3,374
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,,14291.0,3,375
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,,14291.0,3,517
2013-03-18,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173102.0,,14291.0,3,518
2013-03-19,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173101.0,,14291.0,3,153
2013-03-19,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173101.0,,14291.0,3,314
2013-03-19,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173101.0,,14291.0,3,315
2013-03-19,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173101.0,,14291.0,3,374
2013-03-19,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173101.0,,14291.0,3,375
2013-03-19,St. Louis,United States,Scottrade Center,"Ed Sheeran
Brett Eldredge",14291.0,1173101.0,,14291.0,3,517
