Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue Capacity,Tour_ID
2018-05-08,Glendale,United States,University of Phoenix Stadium,"Camila Cabello
Charli XCX",59157,"$7,214,478",59157,5
2018-05-11,Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX",107550,"$14,006,963",107550,5
2018-05-12,Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX",107550,"$14,006,963",107550,5
2018-05-18,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",118084,"$16,251,980",118084,5
2018-05-19,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",118084,"$16,251,980",118084,5
2018-05-22,Seattle,United States,CenturyLink Field,Charli XCX,56021,"$8,672,219",56021,5
2018-05-25,Denver,United States,Sports Authority Field at Mile High,"Camila Cabello
Charli XCX",57140,"$7,926,366",57140,5
2018-06-01,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",105208,"$14,576,697",105208,5
2018-06-02,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",105208,"$14,576,697",105208,5
2018-06-08,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",77258,"$6,169,724",77258,5
2018-06-09,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",77258,"$6,169,724",77258,5
2018-06-15,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",133034,"$8,567,769",133034,5
2018-06-16,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",133034,"$8,567,769",133034,5
2018-06-22,London,England,Wembley Stadium,"Camila Cabello
Charli XCX",143427,"$12,214,933",143427,5
2018-06-23,London,England,Wembley Stadium,"Camila Cabello
Charli XCX",143427,"$12,214,933",143427,5
2018-06-30,Louisville,United States,Cardinal Stadium,"Camila Cabello
Charli XCX",52138,"$4,928,219",52138,5
2018-07-07,Columbus,United States,Ohio Stadium,"Camila Cabello
Charli XCX",62897,"$6,606,529",62897,5
2018-07-10,Landover,United States,FedExField,"Camila Cabello
Charli XCX",95672,"$11,396,004",95672,5
2018-07-11,Landover,United States,FedExField,"Camila Cabello
Charli XCX",95672,"$11,396,004",95672,5
2018-07-13,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",107378,"$11,951,047",107378,5
2018-07-14,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",107378,"$11,951,047",107378,5
2018-07-17,Cleveland,United States,FirstEnergy Stadium,"Camila Cabello
Charli XCX",51323,"$5,148,757",51323,5
2018-07-20,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",165654,"$22,031,386",165654,5
2018-07-21,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",165654,"$22,031,386",165654,5
2018-07-22,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",165654,"$22,031,386",165654,5
2018-07-26,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",174764,"$21,779,846",174764,5
2018-07-27,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",174764,"$21,779,846",174764,5
2018-07-28,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",174764,"$21,779,846",174764,5
2018-08-03,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",100310,"$11,177,000",100310,5
2018-08-04,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",100310,"$11,177,000",100310,5
2018-08-07,Pittsburgh,United States,Heinz Field,"Camila Cabello
Charli XCX",56445,"$6,230,876",56445,5
2018-08-10,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",116746,"$18,089,415",116746,5
2018-08-11,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",116746,"$18,089,415",116746,5
2018-08-14,Tampa,United States,Raymond James Stadium,"Camila Cabello
Charli XCX",55909,"$7,244,264",55909,5
