Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID
2018-05-08,Glendale,United States,University of Phoenix Stadium,"Camila Cabello
Charli XCX",59157,7214478,59157,5,345
2018-05-11,Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX",53775,7003482,53775,5,19
2018-05-12,Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX",53775,7003481,53775,5,19
2018-05-18,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",59042,8125990,59042,5,347
2018-05-19,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",59042,8125990,59042,5,347
2018-05-22,Seattle,United States,CenturyLink Field,Charli XCX,56021,8672219,56021,5,315
2018-05-25,Denver,United States,Sports Authority Field at Mile High,"Camila Cabello
Charli XCX",57140,7926366,57140,5,349
2018-06-01,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",52604,7288349,52604,5,11
2018-06-02,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",52604,7288348,52604,5,11
2018-06-08,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",38629,3084862,38629,5,351
2018-06-09,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",38629,3084862,38629,5,351
2018-06-15,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",66517,4283885,66517,5,352
2018-06-16,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",66517,4283884,66517,5,352
2018-06-22,London,England,Wembley Stadium,"Camila Cabello
Charli XCX",71714,6107467,71714,5,37
2018-06-23,London,England,Wembley Stadium,"Camila Cabello
Charli XCX",71713,6107466,71713,5,37
2018-06-30,Louisville,United States,Cardinal Stadium,"Camila Cabello
Charli XCX",52138,4928219,52138,5,354
2018-07-07,Columbus,United States,Ohio Stadium,"Camila Cabello
Charli XCX",62897,6606529,62897,5,355
2018-07-10,Landover,United States,FedExField,"Camila Cabello
Charli XCX",47836,5698002,47836,5,356
2018-07-11,Landover,United States,FedExField,"Camila Cabello
Charli XCX",47836,5698002,47836,5,356
2018-07-13,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",53689,5975524,53689,5,8
2018-07-14,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",53689,5975523,53689,5,8
2018-07-17,Cleveland,United States,FirstEnergy Stadium,"Camila Cabello
Charli XCX",51323,5148757,51323,5,358
2018-07-20,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",55218,7343796,55218,5,10
2018-07-21,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",55218,7343795,55218,5,10
2018-07-22,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",55218,7343795,55218,5,10
2018-07-26,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",58255,7259949,58255,5,9
2018-07-27,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",58255,7259949,58255,5,9
2018-07-28,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",58254,7259948,58254,5,9
2018-08-03,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",50155,5588500,50155,5,49
2018-08-04,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",50155,5588500,50155,5,49
2018-08-07,Pittsburgh,United States,Heinz Field,"Camila Cabello
Charli XCX",56445,6230876,56445,5,174
2018-08-10,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",58373,9044708,58373,5,6
2018-08-11,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",58373,9044707,58373,5,6
2018-08-14,Tampa,United States,Raymond James Stadium,"Camila Cabello
Charli XCX",55909,7244264,55909,5,4
2018-08-18,Miami Gardens,United States,Hard Rock Stadium,"Camila Cabello
Charli XCX",47818,7072164,47818,5,46
2018-08-25,Nashville,United States,Nissan Stadium,"Camila Cabello
Charli XCX",56112,9007179,56112,5,7
2018-08-28,Detroit,United States,Ford Field,"Camila Cabello
Charli XCX",49464,6597852,49464,5,12
2018-08-31,Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX",49387,5121012,49387,5,14
2018-09-01,Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX",49387,5121012,49387,5,14
2018-09-08,Kansas City,United States,Arrowhead Stadium,"Camila Cabello
Charli XCX",58611,6730138,58611,5,200
2018-09-15,Indianapolis,United States,Lucas Oil Stadium,"Camila Cabello
Charli XCX",55729,6531245,55729,5,48
2018-09-18,St. Louis,United States,The Dome at America's Center,"Camila Cabello
Charli XCX",47831,4884054,47831,5,371
2018-09-22,New Orleans,United States,Mercedes-Benz Superdome,"Camila Cabello
Charli XCX",53172,6491546,53172,5,372
2018-09-29,Houston,United States,NRG Stadium,"Camila Cabello
Charli XCX",53800,9350275,53800,5,5
2018-10-05,Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX",52501,7503079,52501,5,3
2018-10-06,Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX",52501,7503078,52501,5,3
2018-10-19,Perth,Australia,Optus Stadium,"Charli XCX
Broods",50891,4153658,50891,5,375
2018-10-26,Melbourne,Australia,Marvel Stadium,"Charli XCX
Broods",63027,6755570,63027,5,376
2018-11-02,Sydney,Australia,ANZ Stadium,"Charli XCX
Broods",72805,7686564,72805,5,341
2018-11-06,Brisbane,Australia,The Gabba,"Charli XCX
Broods",43907,4338127,43907,5,378
2018-11-09,Auckland,New Zealand,Mount Smart Stadium,"Charli XCX
Broods",35749,3617593,35749,5,379
2018-11-20,Tokyo,Japan,Tokyo Dome,Charli XCX,50055,7429924,50055,5,25
2018-11-21,Tokyo,Japan,Tokyo Dome,Charli XCX,50054,7429923,50054,5,25
