Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID
2011-02-09,singapore,singapore,singapore indoor stadium,Sezairi Sezali,8964.0,916850,8964.0,2,187.0
2011-02-11,seoul,south korea,olympic gymnastics arena,—,4725.0,385374,4725.0,2,152.0
2011-02-13,osaka,japan,osaka-jo hall,—,6953.0,758113,6953.0,2,154.0
2011-02-16,tokyo,japan,nippon budokan,—,7978.0,869114,7978.0,2,143.0
2011-02-17,tokyo,japan,nippon budokan,—,7977.0,869113,7977.0,2,143.0
2011-02-19,quezon city,philippines,smart araneta coliseum,Sam Concepcion,12667.0,859037,12667.0,2,190.0
2011-02-21,hong kong,china,asiaworld–arena,Saito Johnny,12573.0,1030633,12573.0,2,23.0
2011-03-06,brussels,belgium,forest national,Tom Dice,4622.0,219212,4622.0,2,80.0
2011-03-07,rotterdam,netherlands,sportpaleis van ahoy,Tom Dice,4799.0,248314,4799.0,2,195.0
2011-03-09,oslo,norway,oslo spektrum,—,8650.0,815246,8650.0,2,155.0
2011-03-12,oberhausen,germany,könig pilsener arena,Martin & James,6082.0,370028,6082.0,2,106.0
2011-03-15,milan,italy,mediolanum forum,Emma Marrone,3421.0,153303,5585.0,2,121.0
2011-03-17,paris,france,zénith de paris,—,3598.0,201781,8500.0,2,238.0
2011-03-19,madrid,spain,palacio de los deportes,The Bright,3962.0,251864,3962.0,2,156.0
2011-03-22,birmingham,england,lg arena,Martin & James,9339.0,508854,9339.0,2,110.0
2011-03-25,belfast,northern ireland,odyssey arena,Ryan Sheridan,8058.0,379001,8058.0,2,149.0
2011-03-27,dublin,ireland,the o2,Ryan Sheridan,8681.0,419806,8681.0,2,208.0
2011-03-29,manchester,england,manchester evening news arena,Martin & James,10488.0,580558,11622.0,2,118.0
2011-03-30,london,england,the o2 arena,Martin & James,15265.0,891152,15681.0,2,209.0
2011-05-27,omaha,united states,qwest center omaha,Needtobreathe,13496.0,858552,13496.0,2,170.0
2011-05-28,omaha,united states,qwest center omaha,Needtobreathe,13496.0,858552,13496.0,2,170.0
2011-05-29,des moines,united states,wells fargo arena,Needtobreathe,13149.0,862771,13149.0,2,230.0
2011-06-02,sunrise,united states,bankatlantic center,Needtobreathe,12039.0,791476,12039.0,2,28.0
2011-06-03,sunrise,united states,bankatlantic center,Needtobreathe,12038.0,791475,12038.0,2,28.0
2011-06-04,orlando,united states,amway center,Needtobreathe,12262.0,791980,12262.0,2,18.0
2011-06-07,columbus,united states,nationwide arena,Needtobreathe,14817.0,955259,14817.0,2,139.0
2011-06-08,milwaukee,united states,bradley center,Needtobreathe,13748.0,897042,13748.0,2,39.0
2011-06-11,detroit,united states,ford field,Needtobreathe,47992.0,3453549,47992.0,2,79.0
2011-06-14,saint paul,united states,xcel energy center,Needtobreathe,14489.0,956869,14489.0,2,234.0
2011-06-15,saint paul,united states,xcel energy center,Needtobreathe,14488.0,956868,14488.0,2,234.0
2011-06-18,pittsburgh,united states,heinz field,Needtobreathe,52009.0,4009118,52009.0,2,92.0
2011-06-21,buffalo,united states,first niagara center,Needtobreathe,14487.0,966749,14487.0,2,74.0
2011-06-22,hartford,united states,xl center,Needtobreathe,12436.0,810165,12436.0,2,235.0
2011-06-25,foxborough,united states,gillette stadium,Needtobreathe,55400.0,4013175,55400.0,2,88.0
2011-06-26,foxborough,united states,gillette stadium,Needtobreathe,55400.0,4013175,55400.0,2,88.0
2011-06-30,greensboro,united states,greensboro coliseum,Needtobreathe,14789.0,990701,14789.0,2,89.0
2011-07-01,knoxville,united states,thompson–boling arena,Needtobreathe,13754.0,903875,13754.0,2,211.0
2011-07-14,montreal,canada,bell centre,Needtobreathe,13439.0,1254230,13439.0,2,33.0
