City,State,Country,Venue,Alternate Names,Latitude,Longitude,,
Adelaide,,Australia,Adelaide Entertainment Centre,,,,,
Alexandria,,United States,Bishop Ireton High School,,,,,
Amsterdam,,Netherlands,Ziggo Dome,,,,,
Amsterdamn,,Netherlands,Johan Cruijff Arena,,52.3144,4.9414,,
Arlington,TX,United States,AT&T STADIUM,,32.747841,-97.093628,,
Arlington,,United States,AT&T Stadium,,,,,
Arlington,,United States,Cowboys Stadium,AT&T Stadium,,,,
Atlanta,,United States,Georgia Dome,,,,,
Atlanta,GA,United States,MERCEDES-BENZ STADIUM,,33.755489,-84.401993,,
Atlanta,,United States,Mercedes-Benz Stadium,,,,,
Atlanta,,United States,Philips Arena,State Farm Arena,,,,
Auburn Hills,,United States,The Palace of Auburn Hills,,,,,
Auckland,,New Zealand,Mount Smart Stadium,Go Media Stadium,,,,
Auckland,,New Zealand,Vector Arena,Spark Arena,,,,
Austin,,United States,Frank Erwin Center,,,,,
Baton Rouge,,United States,LSU Tiger Stadium,,,,,
Baton Rouge,,United States,Tiger Stadium,,,,,
Belfast,,Northern Ireland,Odyssey Arena,,,,,
Berlin,,Germany,O2 World,,,,,
Biloxi,,United States,Mississippi Coast Coliseum,,,,,
Birmingham,,United States,BJCC Arena,Legacy Arena,,,,
Birmingham,,England,LG Arena,,,,,
Bossier City,,United States,CenturyLink Center,Brookshire Grocery Arena,,,,
Bossier City,,United States,CenturyTel Center,Brookshire Grocery Arena,,,,
Brisbane,,Australia,Brisbane Entertainment Centre,,,,,
Brisbane,,Australia,Suncorp Stadium,,,,,
Brisbane,,Australia,The Gabba,,,,,
Brussels,,Belgium,Forest National,,,,,
Buenos Aires,,Argentina,Estadio River Plate,,-34.5455,-58.4494,,
Buffalo,,United States,First Niagara Center,,,,,
Cadott,,United States,Amphitheatre Concert Grounds,,,,,
Calgary,,Canada,Pengrowth Saddledome,,,,,
Cardiff,,United Kingdom,Principality Stadium,,51.4782,-3.1827,,
Cavendish,,Canada,Cavendish Beach Festival Grounds,,,,,
Charleston,,United States,Charleston Civic Center,,,,,
Charlotte,,United States,Time Warner Cable Arena,,,,,
Charlottesville,,United States,John Paul Jones Arena,,,,,
Chelmsford,,England,Hylands Park,,,,,
