Date,Show_ID,City,State,Country,Stadium,Opener 1,Opener 2,Cancelled,Setlist_ID,Latitude,Longitude
17-Mar-23,1,Glendale,AZ,United States of America,STATE FARM STADIUM,Paramore,GAYLE,0,1,33.527283,-112.263275
18-Mar-23,2,Glendale,AZ,United States of America,STATE FARM STADIUM,Paramore,GAYLE,0,1,33.527283,-112.263275
24-Mar-23,3,Las Vegas,NV,United States of America,ALLEGIANT STADIUM,beabadoobee,GAYLE,0,1,36.090794,-115.183952
25-Mar-23,4,Las Vegas,NV,United States of America,ALLEGIANT STADIUM,beabadoobee,GAYLE,0,1,36.090794,-115.183952
31-Mar-23,5,Arlington,TX,United States of America,AT&T STADIUM,MUNA,GAYLE,0,2,32.747841,-97.093628
1-Apr-23,6,Arlington,TX,United States of America,AT&T STADIUM,beabadoobee,Gracie Abrams,0,2,32.747841,-97.093628
2-Apr-23,7,Arlington,TX,United States of America,AT&T STADIUM,beabadoobee,Gracie Abrams,0,2,32.747841,-97.093628
13-Apr-23,8,Tampa,FL,United States of America,RAYMOND JAMES STADIUM,beabadoobee,GAYLE,0,2,27.975958,-82.503693
14-Apr-23,9,Tampa,FL,United States of America,RAYMOND JAMES STADIUM,beabadoobee,Gracie Abrams,0,2,27.975958,-82.503693
15-Apr-23,10,Tampa,FL,United States of America,RAYMOND JAMES STADIUM,beabadoobee,Gracie Abrams,0,2,27.975958,-82.503693
21-Apr-23,11,Houston,TX,United States of America,NRG STADIUM,beabadoobee,Gracie Abrams,0,2,29.68486,-95.411667
22-Apr-23,12,Houston,TX,United States of America,NRG STADIUM,beabadoobee,Gracie Abrams,0,2,29.68486,-95.411667
23-Apr-23,13,Houston,TX,United States of America,NRG STADIUM,beabadoobee,Gracie Abrams,0,2,29.68486,-95.411667
28-Apr-23,14,Atlanta,GA,United States of America,MERCEDES-BENZ STADIUM,beabadoobee,Gracie Abrams,0,2,33.755489,-84.401993
29-Apr-23,15,Atlanta,GA,United States of America,MERCEDES-BENZ STADIUM,beabadoobee,Gracie Abrams,0,2,33.755489,-84.401993
30-Apr-23,16,Atlanta,GA,United States of America,MERCEDES-BENZ STADIUM,MUNA,GAYLE,0,2,33.755489,-84.401993
5-May-23,17,Nashville,TN,United States of America,NISSAN STADIUM,Phoebe Bridgers,Gracie Abrams,0,7,36.166479,-86.7712898
6-May-23,18,Nashville,TN,United States of America,NISSAN STADIUM,Phoebe Bridgers,GAYLE,0,7,36.166479,-86.7712898
7-May-23,19,Nashville,TN,United States of America,NISSAN STADIUM,Phoebe Bridgers,Gracie Abrams,0,7,36.166479,-86.7712898
12-May-23,20,Philadelphia,PA,United States of America,LINCOLN FINANCIAL FIELD,Phoebe Bridgers,GAYLE,0,7,39.900898,-75.168098
13-May-23,21,Philadelphia,PA,United States of America,LINCOLN FINANCIAL FIELD,Phoebe Bridgers,GAYLE,0,7,39.900898,-75.168098
14-May-23,22,Philadelphia,PA,United States of America,LINCOLN FINANCIAL FIELD,Phoebe Bridgers,Gracie Abrams,0,7,39.900898,-75.168098
19-May-23,23,Foxborough,MA,United States of America,GILLETTE STADIUM,Phoebe Bridgers,GAYLE,0,7,42.0878,-71.2587
20-May-23,24,Foxborough,MA,United States of America,GILLETTE STADIUM,Phoebe Bridgers,GAYLE,0,7,42.0878,-71.2587
21-May-23,25,Foxborough,MA,United States of America,GILLETTE STADIUM,Phoebe Bridgers,Gracie Abrams,0,7,42.0878,-71.2587
26-May-23,26,East Rutherford,NJ,United States of America,METLIFE STADIUM,Phoebe Bridgers,GAYLE,0,8,40.813778,-74.07431
27-May-23,27,East Rutherford,NJ,United States of America,METLIFE STADIUM,Phoebe Bridgers,Gracie Abrams,0,8,40.813778,-74.07431
28-May-23,28,East Rutherford,NJ,United States of America,METLIFE STADIUM,Phoebe Bridgers,OWENN,0,8,40.813778,-74.07431
2-Jun-23,29,Chicago,IL,United States of America,SOLDIER FIELD,girl in red,OWENN,0,2,41.862366,-87.617256
3-Jun-23,30,Chicago,IL,United States of America,SOLDIER FIELD,girl in red,OWENN,0,2,41.862366,-87.617256
4-Jun-23,31,Chicago,IL,United States of America,SOLDIER FIELD,MUNA,Gracie Abrams,0,2,41.862366,-87.617256
9-Jun-23,32,Detroit,MI,United States of America,FORD FIELD,girl in red,Gracie Abrams,0,2,42.340115,-83.046341
10-Jun-23,33,Detroit,MI,United States of America,FORD FIELD,girl in red,OWENN,0,2,42.340115,-83.046341
16-Jun-23,34,Pittsburgh,PA,United States of America,ACRISURE STADIUM,girl in red,Gracie Abrams,0,2,40.4469,-80.0158
17-Jun-23,35,Pittsburgh,PA,United States of America,ACRISURE STADIUM,girl in red,OWENN,0,2,40.4469,-80.0158
23-Jun-23,36,Minneapolis,MN,United States of America,U.S. BANK STADIUM,girl in red,Gracie Abrams,0,2,44.9737,-93.257
24-Jun-23,37,Minneapolis,MN,United States of America,U.S. BANK STADIUM,girl in red,OWENN,0,2,44.9737,-93.257
30-Jun-23,38,Cincinnati,OH,United States of America,PAYCOR STADIUM,MUNA,Gracie Abrams,0,2,39.0955,-84.5161
1-Jul-23,39,Cincinnati,OH,United States of America,PAYCOR STADIUM,MUNA,Gracie Abrams,0,2,39.0955,-84.5161
7-Jul-23,40,Kansas City,MO,United States of America,GEHA FIELD AT ARROWHEAD STADIUM,MUNA,Gracie Abrams,0,3,39.049,-94.4839
8-Jul-23,41,Kansas City,MO,United States of America,GEHA FIELD AT ARROWHEAD STADIUM,MUNA,Gracie Abrams,0,3,39.049,-94.4839
14-Jul-23,42,Denver,CO,United States of America,EMPOWER FIELD AT MILE HIGH,MUNA,Gracie Abrams,0,3,39.7439,-105.0201
15-Jul-23,43,Denver,CO,United States of America,EMPOWER FIELD AT MILE HIGH,MUNA,Gracie Abrams,0,3,39.7439,-105.0201
22-Jul-23,44,Seattle,WA,United States of America,LUMEN FIELD,MUNA,Gracie Abrams,0,3,47.5952,-122.3316
23-Jul-23,45,Seattle,WA,United States of America,LUMEN FIELD,MUNA,Gracie Abrams,0,3,47.5952,-122.3316
