Date,City,Country,Venue,Opening acts,Attendance,Revenue,Venue_Capacity,Tour_ID,Venue_ID,Album_Name,Latitude,Longitude
2009-04-23,Evansville,United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler",7463.0,360617.0,7463.0,1,174,nan,,
2009-04-24,Jonesboro,United States,Convocation Center,"Gloriana
Kellie Pickler",7822.0,340328.0,7822.0,1,59,nan,,
2009-04-25,St. Louis,United States,Scottrade Center,"Gloriana
Kellie Pickler",13764.0,650420.0,13764.0,1,185,nan,,
2009-04-28,Alexandria,United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",,,,1,36,nan,,
2009-04-30,North Charleston,United States,North Charleston Coliseum,"Gloriana
Kellie Pickler",8751.0,398154.0,8751.0,1,145,nan,,
2009-05-01,Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler",11072.0,507012.0,11072.0,1,100,nan,,
2009-05-02,Biloxi,United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler",9436.0,437313.0,9436.0,1,131,nan,,
2009-05-06,London,England,Shepherd'S Bush Empire,—,3395.0,200664.0,3395.0,1,186,nan,,
2009-05-07,London,England,Shepherd'S Bush Empire,—,3394.0,200664.0,3394.0,1,186,nan,,
2009-05-14,Spokane,United States,Spokane Arena,"Gloriana
Kellie Pickler",10798.0,482146.0,10798.0,1,194,nan,,
2009-05-15,Seattle,United States,Keyarena,"Gloriana
Kellie Pickler",12061.0,528637.0,12061.0,1,104,nan,,
2009-05-16,Portland,United States,Rose Garden Arena,"Gloriana
Kellie Pickler",13226.0,613284.0,13226.0,1,179,nan,,
2009-05-17,Nampa,United States,Ford Arena,"Gloriana
Kellie Pickler",8970.0,413622.0,8970.0,1,76,nan,,
2009-05-21,Glendale,United States,Jobing.Com Arena,"Gloriana
Kellie Pickler",13052.0,647923.0,13052.0,1,101,nan,,
2009-05-22,Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",4550.0,240314.0,4550.0,1,0,nan,,
2009-05-23,Paradise,United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler",8311.0,551051.0,8311.0,1,119,nan,,
2009-05-24,San Diego,United States,Valley View Casino Center,"Gloriana
Kellie Pickler",10174.0,502689.0,10174.0,1,220,nan,,
2009-05-26,Salt Lake City,United States,Energysolutions Arena,"Gloriana
Kellie Pickler",13042.0,555207.0,13042.0,1,64,nan,,
2009-06-04,New Brockton,United States,Bamajam Farms,—,,,,1,27,nan,,
2009-06-11,Columbia,United States,Merriweather Post Pavilion,"Gloriana
Kellie Pickler",17619.0,608438.0,17619.0,1,128,nan,,
2009-06-12,Greensboro,United States,Greensboro Coliseum,"Gloriana
Kellie Pickler",14641.0,690959.0,14641.0,1,89,nan,,
2009-06-24,Oshkosh,United States,Ford Festival Park,—,,,,1,78,nan,,
2009-06-25,Cadott,United States,Amphitheatre Concert Grounds,—,,,,1,16,nan,,
2009-07-08,Calgary,Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",,,,1,159,nan,,
2009-07-09,Edmonton,Canada,Rexall Place,—,33910.0,2540906.0,44500.0,1,173,nan,,
2009-07-10,Craven,Canada,Big Valley Park,—,,,,1,35,nan,,
2009-07-11,Winnipeg,Canada,Mts Centre,"Gloriana
Kellie Pickler",11369.0,512487.0,11369.0,1,135,nan,,
2009-07-16,Twin Lakes,United States,Country Thunder Festival,—,,,,1,60,nan,,
2009-07-17,Columbus,United States,Value City Arena,"Gloriana
Kellie Pickler",,,,1,221,nan,,
2009-07-18,Charleston,United States,Charleston Civic Center,"Gloriana
Kellie Pickler",,,,1,53,nan,,
2009-07-23,Cheyenne,United States,Cheyenne Frontier Days Arena,Kellie Pickler,,,,1,55,nan,,
2009-07-24,Rapid City,United States,Barnett Arena,"Gloriana
Kellie Pickler",,,,1,30,nan,,
2009-07-25,Minot,United States,North Dakota State Fair Grandstand,—,,,,1,146,nan,,
2009-08-01,Philadelphia,United States,Wachovia Spectrum,"Gloriana
Kellie Pickler",,,,1,229,nan,,
2009-08-07,Detroit Lakes,United States,Soo Pass Ranch,"Brooks & Dunn
Craig Morgan",,,,1,193,nan,,
2009-08-09,Omaha,United States,Qwest Center Omaha,"Gloriana
Kellie Pickler",,,,1,170,nan,,
2009-08-22,Chelmsford,England,Hylands Park,—,,,,1,95,nan,,
2009-08-23,Weston-Under-Lizard,England,Weston Park,—,,,,1,233,nan,,
2009-08-27,New York City,United States,Madison Square Garden,"Gloriana
Kellie Pickler",13597.0,976062.0,13597.0,1,115,nan,,
2009-08-28,Uncasville,United States,Mohegan Sun Arena,"Gloriana
Kellie Pickler",7507.0,296306.0,7507.0,1,133,nan,,
2009-08-29,University Park,United States,Bryce Jordan Center,"Gloriana
Kellie Pickler",,,,1,42,nan,,
2009-08-30,Louisville,United States,Freedom Hall,"Gloriana
Kellie Pickler",,,,1,83,nan,,
2009-09-03,Duluth,United States,Arena At Gwinnett Center,"Gloriana
Kellie Pickler",,,,1,21,nan,,
2009-09-04,Greenville,United States,Bi-Lo Center,"Gloriana
Kellie Pickler",,,,1,34,nan,,
2009-09-05,Charlotte,United States,Time Warner Cable Arena,"Gloriana
Kellie Pickler",,,,1,212,nan,,
